name,sector,subsector,sourceType,emissionsQuantity,activity,capacity,year,emissions_mt
Okewela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,26.58263,114893.76859999998,8247.35904,2025,2.658263e-05
Karativu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,26.39945,334451.3966,24007.748520000005,2025,2.639945e-05
Pasgoda Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,26.12866,78928.01612,5665.6485600000005,2025,2.612866e-05
Thenmaradchy (Chavakachcheri) Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,25.570885,387632.9006,27825.248520000005,2025,2.5570885000000002e-05
Galgamuwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,25.40876,267885.32942,19229.47152,2025,2.540876e-05
Vengalacheddiculam Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,25.39258,356351.4721,25579.79028,2025,2.539258e-05
Mallawapitiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,25.266205,392676.8556200001,28187.3172,2025,2.5266205e-05
Ambalangoda Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,24.481910000000003,303660.6743000001,21797.51508,2025,2.4481910000000004e-05
Manmunai South and Eruvilpattu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,24.03296,290105.51118999993,20824.49088000001,2025,2.403296e-05
Aranayaka Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,23.324220000000004,78592.00378999999,5641.528679999999,2025,2.3324220000000004e-05
Addalachchenai Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,22.78074,331833.71770000004,23819.84616,2025,2.2780740000000003e-05
Welikanda Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,22.39665,351074.6556,25201.00764,2025,2.2396650000000002e-05
Island South (Velanai) Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,22.000925,383014.75492,27493.74768,2025,2.2000925e-05
Mundalama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,21.485045,200662.88128,14404.07832,2025,2.1485044999999998e-05
Karachchi Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,20.995600000000003,795987.0846599999,57137.92403999998,2025,2.0995600000000003e-05
Eragama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,20.83151,199106.7092,14292.372840000004,2025,2.0831510000000003e-05
Elahera Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,20.119455,159688.441,11462.83176,2025,2.0119455e-05
Naula Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,20.0438,126791.0527,9101.376000000002,2025,2.00438e-05
Kantalai Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,20.02108,193185.63928000003,13867.343400000003,2025,2.0021080000000002e-05
Mahiyanganaya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,19.625445,179297.6878,12870.431760000003,2025,1.9625445e-05
Madulla Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,19.053700000000003,107227.9541,7697.088119999998,2025,1.9053700000000004e-05
Thihagoda Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,18.869695,148519.4781,10661.095559999996,2025,1.8869695e-05
Polpithigama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,18.487115000000003,204305.23242,14665.535160000005,2025,1.8487115000000002e-05
Lankapura Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,18.043850000000003,119777.86165999997,8597.951640000001,2025,1.8043850000000002e-05
Medirigiriya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,16.98979,121531.2246,8723.812320000003,2025,1.698979e-05
Ibbagamuwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,16.24113,100676.2348,7226.78916,2025,1.6241129999999998e-05
Mahawa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,15.803285,188156.4452,13506.335760000004,2025,1.5803285e-05
Ambalanthota Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,15.57268,182940.0112,13131.887160000004,2025,1.557268e-05
Gomarankadawala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,15.04652,238909.78074000005,17149.5354,2025,1.5046519999999999e-05
Kahawatta Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,14.75506,56961.33925000001,4088.82588,2025,1.4755060000000001e-05
Udapalatha Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,14.752555,121805.73333,8743.517160000001,2025,1.4752554999999999e-05
Yakkalamulla Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,14.452365000000004,55828.669250000006,4007.52,2025,1.4452365000000003e-05
Oddusuddan Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,13.441215,423255.98503,30382.36176,2025,1.3441215e-05
Passara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,13.36267,88262.79946000001,6335.722080000002,2025,1.336267e-05
Thissamaharama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,13.017400000000002,140632.8735,10094.97576,2025,1.3017400000000002e-05
Welivitiya-Divithura Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,12.81493,82358.71245,5911.912080000001,2025,1.281493e-05
Lunugala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,12.498165,76039.58454,5458.309800000002,2025,1.2498165000000001e-05
Katuwana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,12.4933,54121.50967000001,3884.97588,2025,1.24933e-05
Galenbindunuwewa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.68987,122315.53663000005,8780.11176,2025,1.1689870000000001e-05
Kalmunai Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.613245,146397.2266,10508.755320000002,2025,1.1613244999999999e-05
Opanayaka Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.165155,43416.08472,3116.514120000001,2025,1.1165155e-05
Ipalogama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.138935,109490.78811999998,7859.519759999998,2025,1.1138935e-05
Vadamaradchy East Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.083795,227190.3898,16308.288120000005,2025,1.1083795e-05
Bamunakotuwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,11.024995,97530.66924,7000.992719999998,2025,1.1024995e-05
Minipe Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,10.640895,93958.38005999998,6744.564960000002,2025,1.0640895e-05
Udadumbara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,10.46774,66703.92737,4788.17304,2025,1.046774e-05
Medawachchiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,10.421135,143637.59710999997,10310.66244,2025,1.0421135e-05
Kandawali Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,10.064465,268685.9011,19286.93892,2025,1.0064465000000001e-05
Malimbada Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,8.959954999999999,68913.52463,4946.78352,2025,8.959955e-06
Rideegama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,8.50358,44346.71625,3183.317159999999,2025,8.50358e-06
Kuchchaveli Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,8.011865,83466.16509999998,5991.407760000001,2025,8.011865e-06
Beliatta Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.986685,50731.64924,3641.64336,2025,7.986685e-06
Pallepola Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.869639999999999,49830.54323,3576.959880000001,2025,7.86964e-06
