id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320203,Kothmale Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.65389051644712, 'latitude': 7.037969827000069, 'srid': 4326}",co2e_20yr,15084.184460000002,0.0001511,t of CO2e_20yr per MJ,99828934.76,MJ,11689260.620520001,m^2,8.540226623692908,2024
1320131,Ibbagamuwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.45869666122701, 'latitude': 7.611356020500066, 'srid': 4326}",co2e_20yr,15024.02489,0.000176568,t of CO2e_20yr per MJ,85089076.95,MJ,9963327.766,m^2,8.540226614276824,2024
1320202,Hanguranketha Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.77419048581977, 'latitude': 7.136506319500114, 'srid': 4326}",co2e_20yr,14956.33315,0.000120248,t of CO2e_20yr per MJ,124378845.46207002,MJ,14563881.216720002,m^2,8.540226579112538,2024
1319976,Bandarawela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.02018169316523, 'latitude': 6.8319165705000255, 'srid': 4326}",co2e_20yr,14655.737035000002,4.468489166315222e-05,t of CO2e_20yr per MJ,327979692.67731994,MJ,38404097.69,m^2,8.540226496857784,2024
1319993,Welimada Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.89079421527252, 'latitude': 6.852266073500033, 'srid': 4326}",co2e_20yr,14644.34304,7.368587543496697e-05,t of CO2e_20yr per MJ,198740165,MJ,23271064.57,m^2,8.540226612,2024
1320211,Thamankaduwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.98432215569389, 'latitude': 7.868204594000133, 'srid': 4326}",co2e_20yr,14593.281794999999,7.13222364762367e-05,t of CO2e_20yr per MJ,204610546.7,MJ,23958444.7,m^2,8.540226596673703,2024
1319997,Koralai Pattu (Valachchenai) Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.37597874453243, 'latitude': 7.860006385500068, 'srid': 4326}",co2e_20yr,14528.874915000002,6.158640793391759e-05,t of CO2e_20yr per MJ,235910412.74220002,MJ,27623437.373879995,m^2,8.540226531158313,2024
1320149,Rideegama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.52284238791884, 'latitude': 7.523978472000038, 'srid': 4326}",co2e_20yr,14490.97946,0.000184051,t of CO2e_20yr per MJ,78733667.16,MJ,9219154.307,m^2,8.540226635239339,2024
1320228,Wennappuwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.8535851513009, 'latitude': 7.320853471500101, 'srid': 4326}",co2e_20yr,14482.912620000001,4.267543899512341e-05,t of CO2e_20yr per MJ,339373488.9,MJ,39738230.23859999,m^2,8.540226547905178,2024
1319994,Eravur Pattu Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.45564249368246, 'latitude': 7.67463550000005, 'srid': 4326}",co2e_20yr,14313.929925000002,6.311778262011556e-05,t of CO2e_20yr per MJ,226781254.5,MJ,26554477.628160004,m^2,8.540226537,2024
